iter	Passed	Remaining
791	12903	3388
792	12916	3371
793	12929	3354
794	12944	3337
795	12957	3320
796	12969	3303
797	12983	3286
798	12997	3269
799	13011	3252
800	13022	3235
801	13035	3218
802	13048	3201
803	13062	3184
804	13076	3167
805	13091	3150
806	13105	3134
807	13119	3117
808	13132	3100
809	13147	3083
810	13159	3066
811	13172	3049
812	13187	3033
813	13201	3016
814	13216	3000
815	13229	2983
816	13243	2966
817	13257	2949
818	13271	2933
819	13285	2916
820	13297	2899
821	13309	2882
822	13326	2866
823	13339	2849
824	13353	2832
825	13367	2815
826	13380	2799
827	13395	2782
828	13411	2766
829	13427	2750
830	13442	2733
831	13455	2717
832	13469	2700
833	13482	2683
834	13494	2666
835	13509	2650
836	13522	2633
837	13535	2616
838	13551	2600
839	13565	2583
840	13582	2567
841	13599	2551
842	13612	2535
843	13626	2518
844	13639	2501
845	13654	2485
846	13667	2468
847	13679	2451
848	13692	2435
849	13707	2419
850	13722	2402
851	13738	2386
852	13765	2372
853	13791	2357
854	13818	2343
855	13835	2327
856	13850	2311
857	13864	2294
858	13879	2278
859	13892	2261
860	13905	2244
861	13919	2228
862	13932	2211
863	13946	2195
864	13961	2178
865	13976	2162
866	13988	2145
867	14001	2129
868	14014	2112
869	14029	2096
870	14045	2080
871	14058	2063
872	14072	2047
873	14084	2030
874	14099	2014
875	14114	1997
876	14126	1981
877	14141	1964
878	14156	1948
879	14168	1932
880	14182	1915
881	14195	1899
882	14208	1882
883	14222	1866
884	14234	1849
885	14246	1833
886	14259	1816
887	14273	1800
888	14286	1783
889	14303	1767
890	14318	1751
891	14332	1735
892	14344	1718
893	14357	1702
894	14373	1686
895	14389	1670
896	14404	1653
897	14420	1637
898	14437	1621
899	14453	1605
900	14468	1589
901	14486	1573
902	14503	1557
903	14518	1541
904	14535	1525
905	14551	1509
906	14569	1493
907	14589	1478
908	14607	1462
909	14622	1446
910	14639	1430
911	14657	1414
912	14674	1398
913	14692	1382
914	14710	1366
915	14727	1350
916	14744	1334
917	14761	1318
918	14777	1302
919	14794	1286
920	14817	1271
921	14843	1255
922	14874	1240
923	14893	1224
924	14913	1209
925	14930	1193
926	14947	1177
927	14964	1161
928	14981	1144
929	14999	1128
930	15015	1112
931	15031	1096
932	15050	1080
933	15066	1064
934	15082	1048
935	15099	1032
936	15114	1016
937	15129	1000
938	15146	983
939	15161	967
940	15178	951
941	15196	935
942	15213	919
943	15231	903
944	15247	887
945	15266	871
946	15286	855
947	15304	839
948	15322	823
949	15340	807
950	15356	791
951	15371	775
952	15386	758
953	15402	742
954	15417	726
955	15432	710
956	15448	694
957	15462	677
958	15476	661
959	15490	645
960	15504	629
961	15519	613
962	15533	596
963	15548	580
964	15564	564
965	15579	548
966	15594	532
967	15608	515
968	15622	499
969	15636	483
970	15650	467
971	15664	451
972	15676	435
973	15691	418
974	15706	402
975	15722	386
976	15737	370
977	15750	354
978	15764	338
979	15778	322
980	15791	305
981	15806	289
982	15820	273
983	15836	257
984	15852	241
985	15870	225
986	15894	209
987	15922	193
988	15941	177
989	15958	161
990	15971	145
991	15985	128
992	15999	112
993	16013	96
994	16025	80
995	16038	64
996	16053	48
997	16066	32
998	16079	16
999	16091	0
